id,lead,sample,feature
1069058,2,154,R
1069068,2,323,R
1069078,2,486,R
1069088,2,648,R
1069098,2,806,R
1069108,2,960,R
1069118,2,1113,R
1069128,2,1263,R
1069138,2,1416,R
1069148,2,1574,R
1069158,2,1736,R
1069169,2,1902,R
1069179,2,2070,R
1069189,2,2235,R
1069199,2,2397,R
1069209,2,2556,R
1069219,2,2712,R
1069229,2,2867,R
1069239,2,3019,R
1069249,2,3172,R
1069259,2,3324,R
1069269,2,3478,R
1069279,2,3633,R
1069289,2,3791,R
1069297,2,3952,R
1069307,2,4119,R
1069318,2,4282,R
1069328,2,4445,R
1069338,2,4609,R
1069348,2,4775,R
1069355,2,4940,R
1069365,2,5105,R
1069375,2,5269,R
1069385,2,5431,R
1069395,2,5595,R
1069405,2,5759,R
1069415,2,5923,R
1069426,2,6087,R
1069437,2,6251,R
1069447,2,6414,R
1069457,2,6572,R
1069467,2,6727,R
1069477,2,6882,R
1069488,2,7035,R
1069495,2,7187,R
1069506,2,7339,R
1069516,2,7491,R
1069526,2,7642,R
1069536,2,7792,R
1069546,2,7944,R
1069556,2,8095,R
1069566,2,8246,R
1069577,2,8396,R
1069587,2,8544,R
1069597,2,8693,R
1069607,2,8839,R
1069617,2,8986,R
1069627,2,9133,R
1069637,2,9279,R
1069647,2,9426,R
1069657,2,9574,R
1069668,2,9722,R
1069678,2,9869,R
1069688,2,10017,R
1069698,2,10168,R
1069708,2,10321,R
1069718,2,10479,R
1069728,2,10641,R
1069738,2,10806,R
1069748,2,10968,R
1069758,2,11126,R
1069768,2,11284,R
1069779,2,11442,R
1069789,2,11602,R
1069799,2,11766,R
1069809,2,11935,R
1069817,2,12099,R
1069828,2,12260,R
1069838,2,12422,R
1069848,2,12583,R
1069858,2,12749,R
1069868,2,12918,R
1069878,2,13088,R
1069888,2,13257,R
1069898,2,13427,R
1069908,2,13593,R
1069915,2,13757,R
1069925,2,13921,R
1069935,2,14084,R
1069945,2,14250,R
1069955,2,14418,R
1069965,2,14591,R
1069975,2,14762,R
1069983,2,14932,R
1069994,2,15104,R
1070004,2,15280,R
1070014,2,15457,R
1070022,2,15627,R
1070032,2,15791,R
1070042,2,15954,R
1070049,2,16117,R
1070056,2,16284,R
1070066,2,16450,R
1070076,2,16616,R
1070086,2,16783,R
1070096,2,16951,R
1070106,2,17122,R
1070116,2,17287,R
1070126,2,17446,R
1070136,2,17605,R
1070143,2,17765,R
1070153,2,17928,R
1070164,2,18091,R
1070174,2,18252,R
1070184,2,18415,R
1070194,2,18581,R
1070204,2,18746,R
1070211,2,18909,R
1070221,2,19073,R
1070231,2,19238,R
1070241,2,19406,R
1070251,2,19571,R
1070261,2,19730,R
1070268,2,19887,R
1070278,2,20044,R
1070288,2,20201,R
1070298,2,20366,R
1070308,2,20534,R
1070319,2,20703,R
1070329,2,20874,R
1070339,2,21046,R
1070350,2,21215,R
1070360,2,21385,R
1070371,2,21552,R
1070381,2,21716,R
1070391,2,21882,R
1070401,2,22053,R
1070409,2,22224,R
1070419,2,22394,R
1070429,2,22562,R
1070439,2,22733,R
1070449,2,22906,R
1070459,2,23075,R
1070470,2,23236,R
1070480,2,23394,R
1070490,2,23552,R
1070501,2,23712,R
1070511,2,23875,R
1070521,2,24042,R
1070528,2,24211,R
1070538,2,24381,R
1070548,2,24555,R
1070558,2,24729,R
1070568,2,24896,R
1070578,2,25061,R
1070588,2,25225,R
1070598,2,25387,R
1070608,2,25546,R
1070618,2,25703,R
1070628,2,25861,R
1070635,2,26019,R
1070646,2,26180,R
1070656,2,26342,R
1070666,2,26504,R
1070676,2,26667,R
1070687,2,26832,R
1070698,2,26997,R
1070708,2,27164,R
1070718,2,27327,R
1070728,2,27489,R
1070738,2,27650,R
1070748,2,27809,R
1070758,2,27969,R
1070768,2,28126,R
1070778,2,28285,R
1070788,2,28449,R
1070798,2,28615,R
1070808,2,28782,R
1070818,2,28946,R
1070828,2,29108,R
1070839,2,29268,R
1070849,2,29428,R
1070860,2,29592,R
1070870,2,29755,R
1070881,2,29910,R
1070892,2,30059,R
1070902,2,30211,R
1070912,2,30361,R
1070923,2,30511,R
1070934,2,30660,R
1070945,2,30802,R
1070956,2,30943,R
1070967,2,31092,R
1070977,2,31254,R
1070987,2,31413,R
1070997,2,31572,R
1071007,2,31732,R
1071017,2,31895,R
1071027,2,32061,R
1071038,2,32226,R
1071048,2,32388,R
1071059,2,32552,R
1071069,2,32714,R
1071079,2,32876,R
1071086,2,33036,R
1071096,2,33194,R
1071106,2,33354,R
1071116,2,33514,R
1071126,2,33674,R
1071136,2,33835,R
1071146,2,33997,R
1071156,2,34159,R
1071167,2,34319,R
1071177,2,34473,R
1071188,2,34629,R
1071198,2,34776,R
1071208,2,34925,R
1071218,2,35069,R
1071229,2,35215,R
1071240,2,35364,R
1071250,2,35522,R
1071260,2,35681,R
1071270,2,35841,R
1071280,2,36007,R
1071290,2,36163,R
1071300,2,36315,R
1071310,2,36460,R
1071317,2,36601,R
1071324,2,36743,R
1071334,2,36885,R
1071341,2,37025,R
1071351,2,37169,R
1071361,2,37310,R
1071371,2,37453,R
1071381,2,37599,R
1071391,2,37748,R
1071402,2,37898,R
1071412,2,38050,R
1071422,2,38202,R
1071432,2,38357,R
1071443,2,38514,R
1071453,2,38672,R
1071463,2,38827,R
1071474,2,38976,R
1071484,2,39119,R
1071495,2,39260,R
1071505,2,39399,R
1071512,2,39541,R
1071522,2,39683,R
1071532,2,39828,R
1071542,2,39978,R
1071552,2,40126,R
1071562,2,40279,R
1071572,2,40433,R
1071583,2,40587,R
1071593,2,40737,R
1071603,2,40886,R
1071614,2,41035,R
1071624,2,41184,R
