id,lead,sample,feature
2109281,3,152,R
2109291,3,321,R
2109301,3,485,R
2109311,3,646,R
2109321,3,804,R
2109331,3,959,R
2109341,3,1111,R
2109351,3,1261,R
2109361,3,1414,R
2109371,3,1573,R
2109381,3,1734,R
2109391,3,1901,R
2109402,3,2068,R
2109412,3,2233,R
2109422,3,2396,R
2109432,3,2554,R
2109442,3,2710,R
2109452,3,2866,R
2109462,3,3018,R
2109472,3,3170,R
2109482,3,3323,R
2109492,3,3476,R
2109502,3,3631,R
2109512,3,3790,R
2109522,3,3951,R
2109532,3,4118,R
2109542,3,4281,R
2109552,3,4443,R
2109562,3,4607,R
2109572,3,4773,R
2109582,3,4938,R
2109592,3,5104,R
2109602,3,5267,R
2109612,3,5430,R
2109622,3,5594,R
2109632,3,5758,R
2109642,3,5921,R
2109652,3,6086,R
2109662,3,6250,R
2109672,3,6413,R
2109682,3,6571,R
2109692,3,6726,R
2109702,3,6881,R
2109712,3,7033,R
2109722,3,7185,R
2109732,3,7338,R
2109742,3,7490,R
2109753,3,7640,R
2109763,3,7790,R
2109773,3,7942,R
2109783,3,8094,R
2109793,3,8244,R
2109803,3,8394,R
2109813,3,8542,R
2109823,3,8691,R
2109833,3,8838,R
2109843,3,8985,R
2109853,3,9132,R
2109863,3,9278,R
2109873,3,9425,R
2109883,3,9572,R
2109893,3,9720,R
2109903,3,9867,R
2109914,3,10016,R
2109924,3,10166,R
2109934,3,10319,R
2109944,3,10477,R
2109954,3,10639,R
2109965,3,10804,R
2109975,3,10966,R
2109985,3,11125,R
2109995,3,11283,R
2110005,3,11441,R
2110015,3,11601,R
2110025,3,11764,R
2110035,3,11933,R
2110045,3,12098,R
2110055,3,12259,R
2110066,3,12420,R
2110076,3,12582,R
2110086,3,12747,R
2110096,3,12917,R
2110106,3,13086,R
2110116,3,13255,R
2110126,3,13425,R
2110136,3,13591,R
2110146,3,13755,R
2110156,3,13919,R
2110166,3,14083,R
2110176,3,14248,R
2110186,3,14416,R
2110196,3,14589,R
2110206,3,14760,R
2110216,3,14930,R
2110226,3,15102,R
2110236,3,15278,R
2110246,3,15455,R
2110256,3,15626,R
2110266,3,15790,R
2110276,3,15953,R
2110286,3,16116,R
2110296,3,16282,R
2110306,3,16448,R
2110316,3,16614,R
2110326,3,16781,R
2110336,3,16949,R
2110346,3,17120,R
2110356,3,17285,R
2110366,3,17445,R
2110376,3,17603,R
2110386,3,17764,R
2110396,3,17926,R
2110406,3,18089,R
2110416,3,18251,R
2110426,3,18413,R
2110436,3,18579,R
2110447,3,18744,R
2110457,3,18907,R
2110467,3,19072,R
2110477,3,19237,R
2110487,3,19404,R
2110497,3,19570,R
2110507,3,19729,R
2110517,3,19885,R
2110527,3,20042,R
2110537,3,20200,R
2110547,3,20364,R
2110558,3,20532,R
2110568,3,20701,R
2110578,3,20872,R
2110588,3,21044,R
2110598,3,21213,R
2110608,3,21383,R
2110618,3,21551,R
2110628,3,21715,R
2110639,3,21881,R
2110649,3,22051,R
2110659,3,22222,R
2110669,3,22392,R
2110679,3,22560,R
2110689,3,22731,R
2110699,3,22905,R
2110709,3,23073,R
2110719,3,23235,R
2110730,3,23393,R
2110740,3,23550,R
2110750,3,23710,R
2110760,3,23873,R
2110771,3,24040,R
2110781,3,24209,R
2110791,3,24380,R
2110801,3,24554,R
2110811,3,24727,R
2110821,3,24894,R
2110831,3,25059,R
2110841,3,25223,R
2110851,3,25385,R
2110862,3,25544,R
2110872,3,25702,R
2110882,3,25859,R
2110892,3,26017,R
2110902,3,26178,R
2110912,3,26340,R
2110922,3,26502,R
2110932,3,26665,R
2110942,3,26830,R
2110952,3,26995,R
2110962,3,27162,R
2110972,3,27325,R
